epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8573348522186279,0.3492390811443329,1e-04,0.9775000214576721,0.06840644031763077
1,0.9613099694252014,0.1285722851753235,1e-04,0.9887499809265137,0.04065895080566406
2,0.9681708812713623,0.09816215932369232,1e-04,0.987500011920929,0.033709000796079636
3,0.9748196601867676,0.07694987952709198,1e-04,0.9850000143051147,0.037914495915174484
4,0.9777196049690247,0.0706292986869812,1e-04,0.9900000095367432,0.022832633927464485
5,0.9794878959655762,0.060142964124679565,1e-04,0.9900000095367432,0.01904846727848053
6,0.9811854362487793,0.055345188826322556,1e-04,0.9887499809265137,0.0334915928542614
7,0.9840146899223328,0.05147033557295799,1e-04,0.9937499761581421,0.021110774949193
8,0.9857122898101807,0.04689029976725578,1e-04,0.9925000071525574,0.02059251070022583
9,0.9852879047393799,0.04409148544073105,1e-04,0.9937499761581421,0.019667131826281548
